edge_id,from,to,road_name,length_m,capacity,flow,t0_min,t_min,v_c_ratio
E017f,C02,D02,北一路,440.0,1600,44.0,2.4444444444444446,2.4444446541462677,0.0275
E033b,T07,T01,东二路,440.0,1600,32.0,2.4444444444444446,2.4444445031111113,0.02
E025b,T06,T08,西二路,440.0,1600,30.0,2.4444444444444446,2.444444489763048,0.01875
E037b,T12,T11,东一路,440.0,1600,30.0,2.4444444444444446,2.444444489763048,0.01875
E014b,C04,D04,北二路,330.0,1600,27.0,1.8333333333333333,1.833333355633485,0.016875
E020b,D01,D03,北一路,440.0,1600,26.0,2.4444444444444446,2.444444470011746,0.01625
E021b,T03,T04,西一路,440.0,1600,21.0,2.4444444444444446,2.4444444553254416,0.013125
E034b,D06,T07,东二路,440.0,1600,13.0,2.4444444444444446,2.4444444460424006,0.008125
E009f,C06,T09,中路,440.0,1600,12.0,2.4444444444444446,2.444444445604601,0.0075
E041f,T05,T10,主干道,630.0,7000,49.0,2.625,2.6250000009453935,0.007
E010b,C03,T09,中路,330.0,1600,5.0,1.8333333333333333,1.8333333333595594,0.003125
E042f,T10,T01,南支路,805.0,1000,0.0,6.708333333333333,6.708333333333333,0.0
E038b,C07,T12,东一路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E039b,C05,C07,东一路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E040b,D01,C05,东一路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E036b,D03,C08,东二路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E028b,D02,D04,西二路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E035b,C08,D06,东二路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E032b,C01,C04,主干道,420.0,7000,0.0,1.75,1.75,0.0
E031b,C04,C03,主干道,420.0,7000,0.0,1.75,1.75,0.0
E031f,C03,C04,主干道,420.0,7000,0.0,1.75,1.75,0.0
E030b,C03,T02,主干道,420.0,7000,0.0,1.75,1.75,0.0
E030f,T02,C03,主干道,420.0,7000,0.0,1.75,1.75,0.0
E027b,D04,T09,西二路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E024b,C02,D05,西一路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E023b,D05,C06,西一路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E022b,C06,T03,西一路,440.0,1600,0.0,2.4444444444444446,2.4444444444444446,0.0
E019b,D03,C01,北一路,330.0,1600,0.0,1.8333333333333333,1.8333333333333333,0.0
E018f,D02,C01,北一路,330.0,1600,0.0,1.8333333333333333,1.8333333333333333,0.0
E042b,T01,T10,南支路,805.0,1000,0.0,6.708333333333333,6.708333333333333,0.0
